player,avg_points,std_dev_points,std_avg_ratio,riskiness_ratio
Omer Asik,8.4423076923076916,5.8373383687061713,0.69143871337749641,0.99523489785722086
Jrue Holiday,21.533333333333335,7.8705297213871264,0.36550447622540833,0.52609552086788069
Tiago Splitter,12.339285714285714,5.2161059219508736,0.42272349005680021,0.60845474994229598
Luke Babbitt,11.767857142857142,7.1215168852747057,0.60516683698844242,0.87105790223225277
Ish Smith,30.05263157894737,12.79935408183869,0.42589794668114728,0.61302396186688113
Alexis Ajinca,11.265625,7.9017238361849458,0.70140128365580656,1.0095747047287464
Alonzo Gee,10.75,6.8084699571852951,0.63334604252886462,0.91161815465249629
Eric Gordon,26.837499999999999,8.8771865356921307,0.33077546476728947,0.47610768607863463
Nate Robinson,4.0,3.5355339059327378,0.88388347648318444,1.2722337705658138
Ryan Anderson,30.8125,8.2213917857463059,0.26682001738730404,0.38405224875763799
Anthony Davis,48.588235294117645,18.161803405531526,0.37379014272885708,0.53802164576759648
Dante Cunningham,13.012499999999999,6.5666997839578114,0.50464551653854461,0.7263707099260156
Kirk Hinrich,14.3125,9.0235307470444823,0.63046503036118651,0.90747131734797426
Shelvin Mack,9.59375,7.4903956361272588,0.78075785132271103,1.1237980248701402
Thabo Sefolosha,20.777777777777779,6.312271480365057,0.30379916215660702,0.43727885388588134
Lamar Patterson,8.125,7.5470744883917327,0.92887070626359791,1.3369869586201615
Dennis Schroder,21.477272727272727,7.3326199967894148,0.34141299455950713,0.49141900821230133
Kendrick Perkins,7.25,7.1937472849690796,0.99224100482332134,1.4282001513356744
Kenneth Faried,27.235294117647058,9.6052844294475879,0.35267783002291359,0.50763325418218364
Danilo Gallinari,32.19047619047619,10.442672299842831,0.3244025418590229,0.4669347034889284
Jameer Nelson,16.276315789473685,6.9246413549538328,0.42544279949595093,0.61236883748115467
Emmanuel Mudiay,26.88095238095238,8.0111715153040564,0.29802409534346358,0.42896640634903144
Gary Harris,18.4375,6.7555532711984441,0.36640288928533932,0.52738866805885354
Darrell Arthur,16.387499999999999,8.7383286821848678,0.53323134597619337,0.76751624385421213
Will Barton,27.083333333333332,10.581331831737124,0.39069532917183231,0.56235443358713844
Nikola Jokic,17.25,11.36515141415488,0.65884935734231187,0.94832681504757077
Erick Green,0.91666666666666663,0.8036375634160795,0.87669552372663218,1.2618876599285807
Joffrey Lauvergne,18.9375,10.026527315077738,0.52945358759486405,0.76207865856425039
Derrick Favors,37.117647058823529,12.514091322091552,0.33714667587251407,0.48527820475347361
Mike Miller,5.875,5.9026830057751427,1.0047120009830031,1.4461505066586087
Gordon Hayward,31.291666666666668,9.265388630305166,0.29609763931734218,0.42619352680195205
Rudy Gobert,31.535714285714285,7.2793551217818058,0.23082892798402102,0.33224781910533058
Raul Neto,11.958333333333334,6.4021193641591196,0.53536886668926431,0.7705929232003097
Rodney Hood,22.102941176470587,5.8236176092548808,0.26347704419782564,0.37924047944764633
Trey Lyles,5.5,4.1623310776534819,0.75678746866426938,1.0892958182752253
Joe Ingles,7.75,5.7611783925329227,0.74337785710102233,1.0699944497862337
Trey Burke,18.972222222222221,9.2541282079344942,0.48777249705072007,0.70208422219888145
Elijah Millsap,4.5555555555555554,5.4740549666383309,1.2016218219449994,1.7295762416668883
Alec Burks,24.944444444444443,7.3856755015624085,0.29608498669960659,0.4261753150263079
Trevor Booker,16.132352941176471,11.413436998452617,0.70748743472632447,1.0183349170538893
Chris Johnson,3.0714285714285716,3.5537474416622348,1.1570340507737509,1.6653980216326976
Tibor Pleiss,1.6875,1.9512282456613492,1.1562834048363551,1.6643175657392435
Anthony Tolliver,12.2125,8.2658440362481418,0.67683472149421831,0.9742143763141542
Randy Foye,11.488095238095237,6.603728203861527,0.57483229961074434,0.82739533370008411
Nerlens Noel,25.823529411764707,12.191750767002492,0.47211791125066599,0.67955150917850438
Terrence Jones,22.296875,10.529014970546864,0.47221931192361549,0.6796974620828371
LaMarcus Aldridge,31.092105263157894,9.1792377914916514,0.29522728402596932,0.42494076507086853
Luis Montero,2.125,1.9445436482630056,0.91507936388847322,1.3171361389387248
Pat Connaughton,1.0416666666666667,2.2606230704535126,2.170198147635372,3.1237142063415653
Tim Frazier,2.25,3.0269621735330623,1.3453165215702498,1.9364058231428718
Chris Kaman,8.1666666666666661,8.0052066390152188,0.98022938436921059,1.4109110067962363
Ed Davis,21.773809523809526,10.048913113461813,0.4615137788577322,0.66428825819940551
Allen Crabbe,14.702380952380953,6.7178023971845908,0.45691935333077377,0.65767518818818294
Maurice Harkless,14.226190476190476,8.1251556761642885,0.57114065004000014,0.82208169069401438
Kawhi Leonard,41.5625,9.0774717526992408,0.21840533540328999,0.31436569498661182
Noah Vonleh,7.7142857142857144,4.8870272880643615,0.63350353734167653,0.91184484767808094
Damian Lillard,43.083333333333336,11.196353573076067,0.25987667867874814,0.37405822780292036
Mason Plumlee,27.488095238095237,8.4964978779774984,0.30909736758341699,0.44490492230635031
Al-Farouq Aminu,25.88095238095238,8.3376476927020065,0.32215382069317783,0.46369796574702921
Meyers Leonard,19.053571428571427,8.8476303712809568,0.4643554834036866,0.66837851736311149
C.J. McCollum,32.357142857142854,7.0171982606002645,0.21686705441148724,0.31215154224084757
Tim Duncan,29.824999999999999,9.1960017055468786,0.30833199348019713,0.44380326715933122
Tony Parker,24.464285714285715,7.5528495095748927,0.30872961498992263,0.44437559091697049
Danny Green,18.0,5.5621488653217472,0.30900827029565264,0.44477667850343339
