,Unnamed: 0,+/-,3PA,3PM,AST,BLK,DKPoints,DREB,FGA,FGM,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,team,away_team_losses,away_team_wins,date,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score,Home
793,793,3.0,5.0,2.0,4.0,3.0,52.25,7.0,18.0,10.0,6.0,5.0,38.0,0.0,1.0,27.0,7.0,2.0,1.0,400827953.0,Kevin Durant,Oklahoma City Thunder,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,1
794,794,8.0,0.0,0.0,1.0,4.0,27.25,4.0,7.0,5.0,0.0,0.0,27.0,3.0,3.0,10.0,7.0,0.0,2.0,400827953.0,Steven Adams,Oklahoma City Thunder,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,1
795,795,3.0,9.0,3.0,16.0,0.0,55.25,5.0,21.0,8.0,4.0,3.0,35.0,0.0,4.0,22.0,5.0,2.0,8.0,400827953.0,Russell Westbrook,Oklahoma City Thunder,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,1
796,796,1.0,3.0,1.0,0.0,0.0,6.75,1.0,3.0,1.0,2.0,2.0,27.0,0.0,4.0,5.0,1.0,0.0,0.0,400827953.0,Andre Roberson,Oklahoma City Thunder,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,1
797,797,0.0,0.0,0.0,0.0,0.0,9.75,1.0,4.0,1.0,0.0,0.0,15.0,2.0,2.0,2.0,3.0,2.0,0.0,400827953.0,Nick Collison,Oklahoma City Thunder,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,1
798,798,-4.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,400827953.0,Kyle Singler,Oklahoma City Thunder,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,1
799,799,-1.0,1.0,1.0,1.0,0.0,24.0,4.0,11.0,7.0,0.0,0.0,17.0,2.0,2.0,15.0,6.0,0.0,1.0,400827953.0,Enes Kanter,Oklahoma City Thunder,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,1
800,800,-8.0,0.0,0.0,3.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,4.0,400827953.0,D.J. Augustin,Oklahoma City Thunder,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,1
801,801,-11.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,400827953.0,Anthony Morrow,Oklahoma City Thunder,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,1
802,802,-11.0,3.0,1.0,1.0,0.0,20.0,3.0,8.0,3.0,0.0,0.0,24.0,3.0,2.0,7.0,6.0,2.0,1.0,400827953.0,Dion Waiters,Oklahoma City Thunder,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,1
803,803,,,,,,,,,,,,,,,,,,,400827953.0,Mitch McGary,Oklahoma City Thunder,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,1
1450,1450,5.0,0.0,0.0,1.0,0.0,8.75,2.0,1.0,1.0,2.0,2.0,7.0,1.0,1.0,4.0,3.0,0.0,1.0,400827954.0,Sonny Weems,Phoenix Suns,4,1,2015-11-04 00:00:00,Phoenix Suns,2,118,3,Sacramento Kings,97,1
804,804,,,,,,,,,,,,,,,,,,,400827953.0,Cameron Payne,Oklahoma City Thunder,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,1
780,780,-4.0,1.0,0.0,0.0,0.0,29.25,5.0,12.0,4.0,5.0,5.0,37.0,2.0,3.0,13.0,7.0,4.0,1.0,400827953.0,DeMarre Carroll,Toronto Raptors,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,0
959,959,8.0,2.0,0.0,6.0,1.0,47.0,8.0,21.0,10.0,3.0,3.0,38.0,2.0,4.0,23.0,10.0,0.0,2.0,400827956.0,Blake Griffin,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
961,961,10.0,0.0,0.0,1.0,2.0,32.75,8.0,7.0,5.0,4.0,1.0,34.0,5.0,3.0,11.0,13.0,0.0,3.0,400827956.0,DeAndre Jordan,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
279,279,0.0,0.0,0.0,0.0,0.0,1.5,2.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,0.0,2.0,400827949.0,Shelvin Mack,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
278,278,21.0,0.0,0.0,2.0,0.0,17.0,3.0,7.0,4.0,0.0,0.0,20.0,1.0,4.0,8.0,4.0,1.0,2.0,400827949.0,Tiago Splitter,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
277,277,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,400827949.0,Mike Muscala,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
276,276,0.0,0.0,0.0,1.0,0.0,5.5,0.0,3.0,1.0,2.0,2.0,14.0,0.0,1.0,4.0,0.0,0.0,0.0,400827949.0,Mike Scott,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
275,275,7.0,3.0,2.0,3.0,2.0,26.75,3.0,6.0,3.0,0.0,0.0,27.0,0.0,3.0,8.0,3.0,3.0,1.0,400827949.0,Kent Bazemore,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
274,274,11.0,6.0,3.0,4.0,0.0,31.25,2.0,15.0,7.0,4.0,3.0,28.0,1.0,2.0,20.0,3.0,1.0,4.0,400827949.0,Dennis Schroder,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
273,273,-3.0,2.0,0.0,6.0,1.0,33.25,1.0,8.0,4.0,10.0,8.0,28.0,0.0,2.0,16.0,1.0,3.0,2.0,400827949.0,Jeff Teague,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
272,272,-2.0,1.0,1.0,4.0,2.0,41.5,5.0,10.0,8.0,4.0,4.0,30.0,3.0,0.0,21.0,8.0,0.0,0.0,400827949.0,Al Horford,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
271,271,9.0,4.0,1.0,3.0,0.0,37.75,8.0,10.0,5.0,2.0,1.0,31.0,1.0,3.0,12.0,9.0,5.0,1.0,400827949.0,Paul Millsap,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
270,270,,,,,,,,,,,,,,,,,,,400827949.0,Donald Sloan,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
280,280,17.0,2.0,0.0,2.0,4.0,19.75,1.0,9.0,3.0,0.0,0.0,29.0,0.0,1.0,6.0,1.0,1.0,1.0,400827949.0,Justin Holiday,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
269,269,-11.0,4.0,1.0,2.0,0.0,21.5,3.0,8.0,4.0,0.0,0.0,18.0,1.0,1.0,9.0,4.0,2.0,0.0,400827949.0,Wayne Ellington,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
267,267,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,400827949.0,Sergey Karasev,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
266,266,-8.0,0.0,0.0,2.0,0.0,7.5,2.0,3.0,1.0,2.0,2.0,17.0,0.0,2.0,4.0,2.0,0.0,4.0,400827949.0,Shane Larkin,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
265,265,-8.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,10.0,0.0,3.0,4.0,0.0,0.0,2.0,400827949.0,Andrea Bargnani,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
264,264,13.0,0.0,0.0,1.0,0.0,11.25,3.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,0.0,400827949.0,Rondae Hollis-Jefferson,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
263,263,-8.0,0.0,0.0,0.0,1.0,5.25,1.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,400827949.0,Thomas Robinson,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
262,262,-6.0,6.0,2.0,0.0,0.0,11.25,1.0,6.0,2.0,0.0,0.0,20.0,0.0,3.0,6.0,1.0,2.0,2.0,400827949.0,Markel Brown,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
261,261,-3.0,2.0,0.0,5.0,1.0,19.5,3.0,10.0,3.0,0.0,0.0,27.0,1.0,5.0,6.0,4.0,0.0,2.0,400827949.0,Jarrett Jack,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
260,260,-6.0,0.0,0.0,3.0,1.0,47.75,6.0,16.0,11.0,7.0,5.0,36.0,5.0,1.0,27.0,11.0,0.0,2.0,400827949.0,Brook Lopez,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
259,259,-3.0,3.0,0.0,6.0,0.0,21.0,4.0,10.0,1.0,4.0,3.0,30.0,2.0,1.0,5.0,6.0,0.0,1.0,400827949.0,Joe Johnson,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
258,258,-11.0,1.0,0.0,3.0,1.0,34.5,5.0,13.0,7.0,0.0,0.0,34.0,5.0,3.0,14.0,10.0,1.0,4.0,400827949.0,Thaddeus Young,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
268,268,-19.0,4.0,2.0,2.0,0.0,16.25,1.0,11.0,5.0,0.0,0.0,25.0,0.0,0.0,12.0,1.0,0.0,2.0,400827949.0,Bojan Bogdanovic,Brooklyn Nets,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,0
281,281,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,400827949.0,Lamar Patterson,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
282,282,10.0,2.0,1.0,2.0,1.0,17.25,3.0,4.0,2.0,2.0,1.0,22.0,0.0,0.0,6.0,3.0,1.0,0.0,400827949.0,Thabo Sefolosha,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
283,283,,,,,,,,,,,,,,,,,,,400827949.0,Tim Hardaway Jr.,Atlanta Hawks,5,0,2015-11-04 00:00:00,Atlanta Hawks,1,101,5,Brooklyn Nets,87,1
962,962,-2.0,3.0,1.0,9.0,0.0,46.75,3.0,15.0,9.0,7.0,5.0,31.0,0.0,4.0,24.0,3.0,3.0,2.0,400827956.0,Chris Paul,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
963,963,4.0,4.0,3.0,3.0,0.0,19.75,1.0,8.0,5.0,0.0,0.0,29.0,0.0,1.0,13.0,1.0,0.0,1.0,400827956.0,J.J. Redick,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
964,964,-18.0,3.0,0.0,0.0,0.0,8.5,2.0,3.0,0.0,6.0,4.0,18.0,0.0,0.0,4.0,2.0,1.0,0.0,400827956.0,Paul Pierce,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
965,965,-12.0,2.0,1.0,1.0,0.0,10.5,1.0,4.0,2.0,0.0,0.0,13.0,1.0,2.0,5.0,2.0,1.0,2.0,400827956.0,Josh Smith,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
966,966,-12.0,1.0,1.0,0.0,0.0,5.5,0.0,2.0,2.0,0.0,0.0,10.0,0.0,3.0,5.0,0.0,0.0,0.0,400827956.0,Wesley Johnson,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
967,967,-3.0,2.0,0.0,0.0,1.0,10.0,0.0,8.0,4.0,0.0,0.0,24.0,0.0,6.0,8.0,0.0,0.0,0.0,400827956.0,Austin Rivers,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
968,968,-10.0,3.0,0.0,1.0,0.0,17.75,3.0,15.0,4.0,0.0,0.0,20.0,2.0,0.0,8.0,5.0,1.0,0.0,400827956.0,Jamal Crawford,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
969,969,,,,,,,,,,,,,,,,,,,400827956.0,Luc Richard Mbah a Moute,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
970,970,,,,,,,,,,,,,,,,,,,400827956.0,Cole Aldrich,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
971,971,,,,,,,,,,,,,,,,,,,400827956.0,Pablo Prigioni,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
972,972,14.0,3.0,2.0,3.0,1.0,34.75,7.0,8.0,5.0,5.0,5.0,36.0,2.0,1.0,17.0,9.0,0.0,2.0,400827956.0,Harrison Barnes,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
973,973,1.0,6.0,1.0,5.0,0.0,22.75,3.0,11.0,3.0,4.0,3.0,39.0,2.0,5.0,10.0,5.0,0.0,3.0,400827956.0,Draymond Green,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
974,974,-10.0,0.0,0.0,2.0,2.0,24.0,3.0,8.0,6.0,1.0,0.0,23.0,1.0,3.0,12.0,4.0,0.0,0.0,400827956.0,Festus Ezeli,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
975,975,7.0,11.0,7.0,4.0,0.0,48.75,5.0,17.0,8.0,9.0,8.0,33.0,0.0,3.0,31.0,5.0,1.0,0.0,400827956.0,Stephen Curry,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
976,976,2.0,2.0,0.0,5.0,1.0,34.75,4.0,18.0,7.0,2.0,2.0,32.0,1.0,2.0,16.0,5.0,2.0,2.0,400827956.0,Klay Thompson,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
977,977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400827956.0,James Michael McAdoo,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
978,978,-2.0,0.0,0.0,0.0,1.0,14.75,5.0,7.0,2.0,4.0,3.0,15.0,0.0,0.0,7.0,5.0,0.0,1.0,400827956.0,Marreese Speights,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
979,979,-9.0,0.0,0.0,3.0,0.0,11.25,2.0,5.0,2.0,0.0,0.0,17.0,1.0,4.0,4.0,3.0,0.0,2.0,400827956.0,Shaun Livingston,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
980,980,8.0,0.0,0.0,1.0,0.0,11.25,0.0,4.0,4.0,2.0,1.0,13.0,1.0,1.0,9.0,1.0,0.0,1.0,400827956.0,Leandro Barbosa,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
981,981,9.0,4.0,0.0,5.0,0.0,21.25,4.0,7.0,2.0,4.0,2.0,32.0,1.0,3.0,6.0,5.0,1.0,1.0,400827956.0,Andre Iguodala,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
982,982,,,,,,,,,,,,,,,,,,,400827956.0,Jason Thompson,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
983,983,,,,,,,,,,,,,,,,,,,400827956.0,Ian Clark,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
984,984,,,,,,,,,,,,,,,,,,,400827956.0,Brandon Rush,Golden State Warriors,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,1
960,960,15.0,2.0,2.0,3.0,0.0,18.25,5.0,5.0,2.0,2.0,1.0,23.0,0.0,3.0,7.0,5.0,0.0,1.0,400827956.0,Lance Stephenson,Los Angeles Clippers,1,4,2015-11-04 00:00:00,Golden State Warriors,0,112,5,Los Angeles Clippers,108,0
779,779,-11.0,0.0,0.0,1.0,0.0,11.75,5.0,6.0,1.0,0.0,0.0,19.0,0.0,0.0,2.0,5.0,1.0,0.0,400827953.0,Luis Scola,Toronto Raptors,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,0
785,785,-1.0,0.0,0.0,0.0,1.0,14.25,2.0,4.0,2.0,6.0,3.0,19.0,3.0,2.0,7.0,5.0,0.0,2.0,400827953.0,Bismack Biyombo,Toronto Raptors,0,5,2015-11-04 00:00:00,Oklahoma City Thunder,2,98,3,Toronto Raptors,103,0
444,444,7.0,5.0,1.0,0.0,0.0,13.5,4.0,10.0,4.0,0.0,0.0,22.0,0.0,0.0,9.0,4.0,0.0,2.0,400827950.0,Sasha Vujacic,New York Knicks,3,2,2015-11-04 00:00:00,Cleveland Cavaliers,1,96,4,New York Knicks,86,0
603,603,6.0,0.0,0.0,1.0,0.0,2.75,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,400827952.0,Phil Pressey,Philadelphia 76ers,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,0
604,604,-16.0,3.0,0.0,1.0,1.0,9.25,1.0,4.0,0.0,3.0,3.0,15.0,0.0,2.0,3.0,1.0,1.0,1.0,400827952.0,Isaiah Canaan,Philadelphia 76ers,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,0
605,605,-16.0,1.0,1.0,0.0,0.0,5.5,1.0,3.0,1.0,0.0,0.0,16.0,1.0,4.0,3.0,2.0,0.0,1.0,400827952.0,JaKarr Sampson,Philadelphia 76ers,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,0
606,606,-22.0,4.0,1.0,1.0,1.0,15.5,3.0,7.0,3.0,0.0,0.0,28.0,1.0,2.0,7.0,4.0,1.0,5.0,400827952.0,Hollis Thompson,Philadelphia 76ers,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,0
607,607,,,,,,,,,,,,,,,,,,,400827952.0,Christian Wood,Philadelphia 76ers,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,0
608,608,,,,,,,,,,,,,,,,,,,400827952.0,Robert Covington,Philadelphia 76ers,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,0
609,609,,,,,,,,,,,,,,,,,,,400827952.0,Kendall Marshall,Philadelphia 76ers,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,0
610,610,7.0,7.0,3.0,3.0,0.0,32.25,2.0,20.0,7.0,4.0,4.0,36.0,1.0,2.0,21.0,3.0,1.0,1.0,400827952.0,Khris Middleton,Milwaukee Bucks,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,1
602,602,-20.0,2.0,0.0,0.0,0.0,11.0,1.0,6.0,2.0,4.0,3.0,19.0,1.0,2.0,7.0,2.0,1.0,1.0,400827952.0,Richaun Holmes,Philadelphia 76ers,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,0
611,611,0.0,1.0,1.0,3.0,1.0,30.75,5.0,11.0,7.0,3.0,2.0,41.0,0.0,2.0,17.0,5.0,1.0,3.0,400827952.0,Giannis Antetokounmpo,Milwaukee Bucks,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,1
613,613,6.0,0.0,0.0,4.0,0.0,39.0,6.0,14.0,7.0,5.0,4.0,36.0,2.0,3.0,18.0,8.0,3.0,2.0,400827952.0,Greg Monroe,Milwaukee Bucks,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,1
614,614,-7.0,2.0,1.0,3.0,0.0,14.5,4.0,6.0,2.0,0.0,0.0,30.0,0.0,2.0,5.0,4.0,0.0,1.0,400827952.0,Jerryd Bayless,Milwaukee Bucks,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,1
615,615,10.0,7.0,1.0,2.0,0.0,11.5,0.0,9.0,3.0,1.0,1.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,400827952.0,Chris Copeland,Milwaukee Bucks,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,1
616,616,-2.0,0.0,0.0,1.0,2.0,12.0,4.0,1.0,1.0,0.0,0.0,12.0,0.0,2.0,2.0,4.0,0.0,1.0,400827952.0,Miles Plumlee,Milwaukee Bucks,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,1
617,617,0.0,0.0,0.0,1.0,1.0,10.5,1.0,3.0,1.0,1.0,0.0,12.0,3.0,1.0,2.0,4.0,0.0,0.0,400827952.0,Johnny O'Bryant III,Milwaukee Bucks,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,1
618,618,20.0,4.0,1.0,5.0,0.0,21.75,0.0,12.0,4.0,3.0,2.0,22.0,1.0,5.0,11.0,1.0,1.0,1.0,400827952.0,Greivis Vasquez,Milwaukee Bucks,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,1
619,619,-7.0,0.0,0.0,1.0,0.0,5.5,2.0,2.0,1.0,0.0,0.0,8.0,0.0,2.0,2.0,2.0,0.0,1.0,400827952.0,Tyler Ennis,Milwaukee Bucks,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,1
620,620,1.0,2.0,1.0,0.0,0.0,6.0,1.0,3.0,1.0,0.0,0.0,17.0,1.0,0.0,3.0,2.0,0.0,0.0,400827952.0,Rashad Vaughn,Milwaukee Bucks,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,1
612,612,-8.0,0.0,0.0,1.0,0.0,8.5,3.0,6.0,1.0,0.0,0.0,16.0,1.0,0.0,2.0,4.0,0.0,0.0,400827952.0,Jabari Parker,Milwaukee Bucks,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,1
622,622,,,,,,,,,,,,,,,,,,,400827952.0,Michael Carter-Williams,Milwaukee Bucks,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,1
601,601,17.0,14.0,3.0,4.0,0.0,28.25,6.0,19.0,5.0,1.0,1.0,35.0,1.0,1.0,14.0,7.0,0.0,4.0,400827952.0,Nik Stauskas,Philadelphia 76ers,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,0
599,599,-4.0,0.0,0.0,0.0,2.0,31.5,5.0,13.0,9.0,3.0,3.0,35.0,1.0,3.0,21.0,6.0,0.0,2.0,400827952.0,Jahlil Okafor,Philadelphia 76ers,4,0,2015-11-04 00:00:00,Milwaukee Bucks,3,91,2,Philadelphia 76ers,87,0
456,456,-7.0,0.0,0.0,2.0,0.0,16.75,3.0,6.0,3.0,4.0,4.0,22.0,0.0,1.0,10.0,3.0,0.0,0.0,400827950.0,Timofey Mozgov,Cleveland Cavaliers,3,2,2015-11-04 00:00:00,Cleveland Cavaliers,1,96,4,New York Knicks,86,1
455,455,14.0,5.0,1.0,3.0,1.0,42.75,3.0,23.0,9.0,7.0,4.0,35.0,2.0,1.0,23.0,5.0,4.0,3.0,400827950.0,LeBron James,Cleveland Cavaliers,3,2,2015-11-04 00:00:00,Cleveland Cavaliers,1,96,4,New York Knicks,86,1
454,454,1.0,5.0,1.0,3.0,0.0,18.5,4.0,6.0,2.0,6.0,4.0,35.0,0.0,2.0,9.0,4.0,0.0,1.0,400827950.0,Richard Jefferson,Cleveland Cavaliers,3,2,2015-11-04 00:00:00,Cleveland Cavaliers,1,96,4,New York Knicks,86,1
453,453,10.0,6.0,2.0,1.0,0.0,29.5,10.0,13.0,4.0,2.0,1.0,32.0,2.0,0.0,11.0,12.0,0.0,1.0,400827950.0,Kevin Love,Cleveland Cavaliers,3,2,2015-11-04 00:00:00,Cleveland Cavaliers,1,96,4,New York Knicks,86,1
452,452,,,,,,,,,,,,,,,,,,,400827950.0,Lou Amundson,New York Knicks,3,2,2015-11-04 00:00:00,Cleveland Cavaliers,1,96,4,New York Knicks,86,0
451,451,-5.0,2.0,0.0,2.0,0.0,10.25,1.0,5.0,0.0,6.0,6.0,17.0,0.0,2.0,6.0,1.0,0.0,0.0,400827950.0,Jerian Grant,New York Knicks,3,2,2015-11-04 00:00:00,Cleveland Cavaliers,1,96,4,New York Knicks,86,0
450,450,-22.0,5.0,3.0,0.0,0.0,22.0,2.0,9.0,4.0,2.0,1.0,29.0,2.0,1.0,12.0,4.0,2.0,1.0,400827950.0,Langston Galloway,New York Knicks,3,2,2015-11-04 00:00:00,Cleveland Cavaliers,1,96,4,New York Knicks,86,0
