,Unnamed: 0,+/-,3PA,3PM,AST,BLK,DKPoints,DREB,FGA,FGM,FTA,FTM,MIN,OREB,PF,PTS,REB,STL,TO,game_id,player,team,away_team_losses,away_team_wins,date,home_team,home_team_losses,home_team_score,home_team_wins,visit_team,visit_team_score,Home
1856,1856,-17.0,1.0,0.0,1.0,0.0,8.25,7.0,3.0,0.0,0.0,0.0,21.0,0.0,3.0,0.0,7.0,0.0,4.0,400827888.0,Kent Bazemore,Atlanta Hawks,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,1
1843,1843,17.0,7.0,4.0,1.0,0.0,30.5,3.0,14.0,7.0,3.0,3.0,37.0,1.0,1.0,21.0,4.0,1.0,2.0,400827888.0,Kentavious Caldwell-Pope,Detroit Pistons,0,1,2015-10-27 00:00:00,Atlanta Hawks,1,94,0,Detroit Pistons,106,0
867,867,,,,,,,,,,,,,,,,,,,400827890.0,Omer Asik,New Orleans Pelicans,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,0
860,860,-21.0,1.0,0.0,3.0,0.0,6.5,0.0,1.0,0.0,0.0,0.0,19.0,0.0,5.0,0.0,0.0,1.0,0.0,400827890.0,Nate Robinson,New Orleans Pelicans,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,0
869,869,17.0,5.0,1.0,3.0,0.0,25.75,4.0,12.0,3.0,2.0,1.0,33.0,5.0,3.0,8.0,9.0,1.0,1.0,400827890.0,Harrison Barnes,Golden State Warriors,1,0,2015-10-27 00:00:00,Golden State Warriors,0,111,1,New Orleans Pelicans,95,1
1582,1582,-1.0,0.0,0.0,2.0,2.0,16.75,3.0,6.0,2.0,2.0,1.0,21.0,2.0,2.0,5.0,5.0,0.0,3.0,400827889.0,Timofey Mozgov,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
1583,1583,5.0,7.0,3.0,7.0,1.0,39.5,4.0,15.0,7.0,3.0,2.0,37.0,0.0,2.0,19.0,4.0,1.0,1.0,400827889.0,Mo Williams,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
1584,1584,0.0,2.0,0.0,3.0,0.0,20.75,4.0,10.0,3.0,4.0,2.0,30.0,1.0,4.0,8.0,5.0,1.0,0.0,400827889.0,J.R. Smith,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
1585,1585,9.0,0.0,0.0,0.0,1.0,6.5,1.0,1.0,0.0,2.0,2.0,12.0,1.0,1.0,2.0,2.0,0.0,0.0,400827889.0,Anderson Varejao,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
1586,1586,-5.0,4.0,2.0,1.0,0.0,14.0,0.0,7.0,4.0,0.0,0.0,17.0,0.0,3.0,10.0,0.0,1.0,1.0,400827889.0,Richard Jefferson,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
1587,1587,-6.0,0.0,0.0,0.0,0.0,18.5,10.0,4.0,1.0,0.0,0.0,25.0,2.0,4.0,2.0,12.0,1.0,1.0,400827889.0,Tristan Thompson,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
1588,1588,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,400827889.0,Jared Cunningham,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
1589,1589,1.0,2.0,0.0,4.0,0.0,16.5,3.0,8.0,3.0,0.0,0.0,20.0,1.0,1.0,6.0,4.0,0.0,1.0,400827889.0,Matthew Dellavedova,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
1581,1581,1.0,5.0,1.0,5.0,0.0,48.5,10.0,22.0,12.0,3.0,0.0,36.0,0.0,3.0,25.0,10.0,1.0,1.0,400827889.0,LeBron James,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
1590,1590,-7.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,400827889.0,James Jones,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
1592,1592,,,,,,,,,,,,,,,,,,,400827889.0,Joe Harris,Cleveland Cavaliers,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,0
1593,1593,-8.0,1.0,0.0,0.0,6.0,18.5,2.0,7.0,1.0,0.0,0.0,32.0,0.0,1.0,2.0,2.0,1.0,0.0,400827889.0,Pau Gasol,Chicago Bulls,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,1
1594,1594,9.0,4.0,3.0,1.0,0.0,33.25,7.0,11.0,6.0,4.0,4.0,25.0,2.0,5.0,19.0,9.0,1.0,4.0,400827889.0,Nikola Mirotic,Chicago Bulls,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,1
1595,1595,-1.0,5.0,2.0,0.0,0.0,14.0,2.0,9.0,4.0,2.0,1.0,29.0,0.0,4.0,11.0,2.0,0.0,1.0,400827889.0,Tony Snell,Chicago Bulls,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,1
1596,1596,-1.0,2.0,0.0,5.0,0.0,27.75,1.0,22.0,8.0,4.0,2.0,32.0,0.0,0.0,18.0,1.0,1.0,2.0,400827889.0,Derrick Rose,Chicago Bulls,1,0,2015-10-27 00:00:00,Chicago Bulls,0,97,1,Cleveland Cavaliers,95,1
