"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Kadeem Jack",4000,"Ind@Chi 08:00PM ET",0,"Ind"
"C","Youssou Ndoye",4000,"Pho@SA 08:30PM ET",0,"SA"
"SF","Branden Dawson",4000,"GS@LAC 10:30PM ET",0,"LAC"
"PF","James Michael McAdoo",4000,"GS@LAC 10:30PM ET",7.338,"GS"
"PF","Rakeem Christmas",4000,"Ind@Chi 08:00PM ET",0,"Ind"
"SG","Treveon Graham",4000,"OKC@Uta 09:00PM ET",0,"Uta"
"PG","Keifer Sykes",4000,"Pho@SA 08:30PM ET",0,"SA"
"SG","Michael Qualls",4000,"OKC@Uta 09:00PM ET",0,"OKC"
"SF","Kyle Anderson",4000,"Pho@SA 08:30PM ET",7.470,"SA"
"SF","Glenn Robinson III",4000,"Ind@Chi 08:00PM ET",4.264,"Ind"
"PF","Mitch McGary",4000,"OKC@Uta 09:00PM ET",15.039,"OKC"
"SG","Nick Wiggins",4000,"Min@Mil 08:00PM ET",0,"Min"
"PG","Raul Neto",4000,"OKC@Uta 09:00PM ET",0,"Uta"
"PF","Bobby Portis",4000,"Ind@Chi 08:00PM ET",0,"Chi"
"PG","Tyler Ennis",4000,"Min@Mil 08:00PM ET",9.419,"Mil"
"PG","Cameron Payne",4000,"OKC@Uta 09:00PM ET",0,"OKC"
"PG","Dante Exum",4000,"OKC@Uta 09:00PM ET",11.540,"Uta"
"SF","Damien Inglis",4000,"Min@Mil 08:00PM ET",0,"Mil"
"SF","Damjan Rudez",4000,"Min@Mil 08:00PM ET",7.563,"Min"
"C","Cristiano Felício",4000,"Ind@Chi 08:00PM ET",0,"Chi"
"PG","Tyus Jones",4000,"Min@Mil 08:00PM ET",0,"Min"
"SG","Devin Booker",4000,"Pho@SA 08:30PM ET",0,"Pho"
"PF","Trey Lyles",4000,"OKC@Uta 09:00PM ET",0,"Uta"
"PF","Kevon Looney",4000,"GS@LAC 10:30PM ET",0,"GS"
"SG","Rashad Vaughn",4000,"Min@Mil 08:00PM ET",0,"Mil"
